date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-04-01,sh.600000,9.1272877800,9.2627074800,9.1092318200,9.1092318200,9.1633997000,22479192,228559545.0000,2,0.080000,1,-0.591100,5.027287,1.553126,-4.913032,0.616796,0
2020-04-02,sh.600000,9.1092318200,9.2085396000,9.0911758600,9.2085396000,9.1092318200,17042135,172675321.0000,2,0.060600,1,1.090200,5.082094,1.570058,-4.966593,0.623520,0
2020-04-03,sh.600000,9.1453437400,9.2175675800,9.1363157600,9.1633997000,9.2085396000,14842382,150706819.0000,2,0.052800,1,-0.490200,5.057181,1.562362,-4.942247,0.620463,0
2020-04-07,sh.600000,9.2988194000,9.3259033400,9.2356235400,9.2807634400,9.1633997000,23825611,244911012.0000,2,0.084800,1,1.280800,5.121953,1.582372,-5.005547,0.628410,0
2020-04-08,sh.600000,9.2536795000,9.2897914200,9.1904836400,9.2446515200,9.2807634400,17952255,183606904.0000,2,0.063900,1,-0.389100,5.102023,1.576215,-4.986070,0.625965,0
2020-04-09,sh.600000,9.2627074800,9.2897914200,9.1904836400,9.2085396000,9.2446515200,13569586,138881044.0000,2,0.048300,1,-0.390600,5.082094,1.570058,-4.966593,0.623520,0
2020-04-10,sh.600000,9.2265955600,9.2446515200,9.1633997000,9.2175675800,9.2085396000,16625528,169625912.0000,2,0.059200,1,0.098000,5.087076,1.571597,-4.971463,0.624131,0
2020-04-13,sh.600000,9.1633997000,9.2265955600,9.1182598000,9.1272877800,9.2175675800,11966986,121315470.0000,2,0.042600,1,-0.979400,5.037252,1.556205,-4.922771,0.618018,0
2020-04-14,sh.600000,9.1814556600,9.2536795000,9.1363157600,9.2536795000,9.1272877800,17792926,181192027.0000,2,0.063300,1,1.384800,5.107006,1.577754,-4.990939,0.626576,0
2020-04-15,sh.600000,9.2085396000,9.2717354600,9.1633997000,9.1904836400,9.2536795000,14945608,152284659.0000,2,0.053200,1,-0.682900,5.072129,1.566979,-4.956855,0.622297,0
2020-04-16,sh.600000,9.1182598000,9.1904836400,9.1182598000,9.1724276800,9.1904836400,14403197,145969853.0000,2,0.051300,1,-0.196500,5.062164,1.563901,-4.947117,0.621075,0
2020-04-17,sh.600000,9.1904836400,9.2356235400,9.1633997000,9.2085396000,9.1724276800,22744411,231788988.0000,2,0.080900,1,0.393700,5.082094,1.570058,-4.966593,0.623520,0
2020-04-20,sh.600000,9.1633997000,9.1995116200,9.1092318200,9.1272877800,9.2085396000,23503715,237574344.0000,2,0.083600,1,-0.882400,5.037252,1.556205,-4.922771,0.618018,0
2020-04-21,sh.600000,9.0911758600,9.1363157600,9.0370079800,9.0550639400,9.1272877800,17557525,176508085.0000,2,0.062500,1,-0.791300,4.997392,1.543890,-4.883817,0.613128,0
2020-04-22,sh.600000,9.0460359600,9.0911758600,9.0099240400,9.0911758600,9.0550639400,15802441,158372535.0000,2,0.056200,1,0.398800,5.017322,1.550047,-4.903294,0.615573,0
2020-04-23,sh.600000,9.1182598000,9.1182598000,9.0370079800,9.0821478800,9.0911758600,16878643,169579075.0000,2,0.060100,1,-0.099300,5.012339,1.548508,-4.898425,0.614962,0
2020-04-24,sh.600000,9.0821478800,9.1092318200,9.0370079800,9.0821478800,9.0821478800,16973113,170599170.0000,2,0.060400,1,0.000000,5.012339,1.548508,-4.898425,0.614962,0
2020-04-27,sh.600000,9.1633997000,9.4071551600,9.1633997000,9.3349313200,9.0821478800,50342806,520243997.0000,2,0.179100,1,2.783300,5.074156,1.548251,16.149657,0.591906,0
2020-04-28,sh.600000,9.3529872800,9.3710432400,9.2265955600,9.3259033400,9.3349313200,29222578,301584635.0000,2,0.104000,1,-0.096700,5.069249,1.546753,16.134039,0.591334,0
2020-04-29,sh.600000,9.3439593000,9.5786867800,9.3259033400,9.5786867800,9.3259033400,35056836,367739389.0000,2,0.124700,1,2.710500,5.206654,1.588679,16.571360,0.607362,0
2020-04-30,sh.600000,9.5516028400,9.7411904200,9.5335468800,9.5967427400,9.5786867800,30906971,330157488.0000,2,0.110000,1,0.188500,5.216468,1.591674,16.602597,0.608507,0
2020-05-06,sh.600000,9.4252111200,9.4703510200,9.3529872800,9.4432670800,9.5967427400,41378362,431336740.0000,2,0.147200,1,-1.599200,5.133044,1.566219,16.337081,0.598776,0
2020-05-07,sh.600000,9.4342391000,9.4432670800,9.3620152600,9.3800712200,9.4432670800,26211656,272516386.0000,2,0.093300,1,-0.669200,5.098693,1.555738,16.227751,0.594768,0
2020-05-08,sh.600000,9.4252111200,9.4703510200,9.3890992000,9.4252111200,9.3800712200,20927670,218698514.0000,2,0.074500,1,0.481200,5.123229,1.563224,16.305844,0.597631,0
2020-05-11,sh.600000,9.4252111200,9.5154909200,9.4071551600,9.4161831400,9.4252111200,21472495,224819916.0000,2,0.076400,1,-0.095800,5.118322,1.561727,16.290225,0.597058,0
2020-05-12,sh.600000,9.4252111200,9.4613230400,9.3349313200,9.3349313200,9.4161831400,19405945,201474588.0000,2,0.069100,1,-0.862900,5.074156,1.548251,16.149657,0.591906,0
2020-05-13,sh.600000,9.3078473800,9.3800712200,9.2807634400,9.3710432400,9.3349313200,15574310,160783648.0000,2,0.055400,1,0.386800,5.093786,1.554240,16.212132,0.594196,0
2020-05-14,sh.600000,9.3168753600,9.3529872800,9.2717354600,9.2988194000,9.3710432400,15892376,163558192.0000,2,0.056500,1,-0.770700,5.054527,1.542261,16.087183,0.589616,0
2020-05-15,sh.600000,9.3529872800,9.3710432400,9.2627074800,9.2807634400,9.2988194000,13753770,141846602.0000,2,0.048900,1,-0.194200,5.044712,1.539267,16.055946,0.588472,0
2020-05-18,sh.600000,9.2807634400,9.4161831400,9.2536795000,9.3168753600,9.2807634400,15675941,162140715.0000,2,0.055800,1,0.389100,5.064342,1.545256,16.118420,0.590761,0
2020-05-19,sh.600000,9.4342391000,9.4342391000,9.3349313200,9.3439593000,9.3168753600,12576997,130445254.0000,2,0.044800,1,0.290700,5.079064,1.549748,16.165276,0.592479,0
2020-05-20,sh.600000,9.3620152600,9.4071551600,9.3259033400,9.3981271800,9.3439593000,20046300,208195248.0000,2,0.071300,1,0.579700,5.108507,1.558732,16.258988,0.595913,0
2020-05-21,sh.600000,9.4252111200,9.4252111200,9.3259033400,9.3259033400,9.3981271800,14361684,149140643.0000,2,0.051100,1,-0.768500,5.069249,1.546753,16.134039,0.591334,0
2020-05-22,sh.600000,9.2988194000,9.3349313200,9.1543717200,9.1543717200,9.3259033400,23722915,243204611.0000,2,0.084400,1,-1.839300,4.976010,1.518304,15.837285,0.580457,0
2020-05-25,sh.600000,9.2988194000,9.3078473800,9.1453437400,9.2717354600,9.1543717200,15722012,160438358.0000,2,0.055900,1,1.282100,5.039805,1.537769,16.040327,0.587899,0
2020-05-26,sh.600000,9.3168753600,9.3168753600,9.2536795000,9.2717354600,9.2717354600,14372249,147713417.0000,2,0.051100,1,0.000000,5.039805,1.537769,16.040327,0.587899,0
2020-05-27,sh.600000,9.2807634400,9.3710432400,9.2536795000,9.3439593000,9.2717354600,20145712,208419130.0000,2,0.071700,1,0.779000,5.079064,1.549748,16.165276,0.592479,0
